S.No.,India/State/Union Territory,Population 2011
1,Andhra Pradesh,49386799
2,Arunachal Pradesh,1383727
3,Assam,31205576
4,Bihar,104099452
5,Chhattisgarh,25545198
6,Goa,1458545
7,Gujarat,60439692
8,Haryana,25351462
9,Himachal Pradesh,6864602
10,Jammu & Kashmir,12541302
11,Jharkhand,32988134
12,Karnataka,61095297
13,Kerala,33406061
14,Madhya Pradesh,72626809
15,Maharashtra,112374333
16,Manipur,2855794
17,Meghalaya,2966889
18,Mizoram,1097206
19,Nagaland,1978502
20,Odisha,41974218
21,Punjab,27743338
22,Rajasthan,68548437
23,Sikkim,610577
24,Tamil Nadu,72147030
25,Telangana,35193978
26,Tripura,3673917
27,Uttarakhand,10086292
28,Uttar Pradesh,199812341
29,West Bengal,91276115
30,Andaman & Nicobar Island,380581
31,Chandigarh,1055450
32,Dadra & Nagar Haveli,343709
33,Daman & Diu,243247
34,Delhi,16787941
35,Lakshadweep,64473
36,Puducherry,1247953
